title;platform;genre;audience_score;critics_score;img
Lego Ninjago Dragons Rising;netflix;action;100;NA;https://resizing.flixster.com/aT1ngwU5IslhpVvNYqZh-mMzw9Q=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p24653588_b_v8_aj.jpg
Heaven Official's Blessing;netflix;action;100;NA;https://resizing.flixster.com/XPq13_sBmEWuhQvix4zH9uSKw0c=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p19058533_b_v8_aa.jpg
Oni: Thunder God's Tale;netflix;action;100;100;https://resizing.flixster.com/JNcXaKnAXbCla7dasgFSEvUjsJQ=/206x305/v2/https://resizing.flixster.com/tE62xXbtFpAXaynom-VQgdR5cJg=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvNTkzZmYzZTQtNmEyOC00MDA1LWI1MDktY2MwODI1ZDA0NWVkLmpwZw==
Super Giant Robot Brothers;netflix;action;100;NA;https://resizing.flixster.com/sLl_38JswABmKrY7brELQrgC-W8=/206x305/v2/https://resizing.flixster.com/A89R0Vea3zQJUbNlZOYmrKJ_3Yk=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvMzlkZjFjYTAtZDllYy00YmFhLThjN2UtZGQzNTUzZjBiNTkwLmpwZw==
Dogs in Space;netflix;action;100;NA;https://resizing.flixster.com/6jM0DFYm2j31vprzFP4cVAIgkjA=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p20876274_b_v13_ao.jpg
Buddy Thunderstruck;netflix;action;100;NA;https://resizing.flixster.com/KO-PFmip7QrKKKIm9jK2QQxx078=/206x305/v2/https://resizing.flixster.com/7lncBYFV0ya6wNdbF3harzUmcWY=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvUlRUVjI0ODQzMi53ZWJw
Heaven Official's Blessing;netflix;action;100;NA;https://resizing.flixster.com/f4SJ7XPfhl-4YApzClaKxeu7XzU=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p19794388_b_v10_aa.jpg
Lost Song;netflix;action;100;NA;https://resizing.flixster.com/oSBJUObjJIFxuEq3W0urKwj3UkM=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p15340720_b_v8_ab.jpg
Avatar: The Last Airbender;netflix;action;98;100;https://resizing.flixster.com/AOVscsV7du8kSRJdohU10cOKKmQ=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p186109_b_v8_aa.jpg
Warrior Nun;netflix;action;97;84;https://resizing.flixster.com/W06wBqRsKqrm3cOsFm4jLErnxBI=/206x305/v2/https://resizing.flixster.com/T7KEayCyElta6MkY1fwfb665s0c=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvZWNiZDAyZDEtMTc1Mi00NzIwLTlhOWItNjAzOWNlNjkzNGJiLmpwZw==
Scissor Seven;netflix;action;97;NA;https://resizing.flixster.com/cswdhM3TA_HjGWsKd_cqj-VUwoM=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p17726300_b_v13_ad.jpg
Blue Eye Samurai;netflix;action;96;100;https://resizing.flixster.com/wd2-Wmi7i8GjR-9goZvEsIgbU2k=/206x305/v2/https://resizing.flixster.com/eIGDgGTAbtVm_PFc-_I_AdQnoyI=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvYWIxYTAyYzItZWEwNy00YjM4LTkxODMtN2E4ZDE0ZmZmNWZkLmpwZw==
Band of Brothers;netflix;action;96;97;https://resizing.flixster.com/3Fo33c1KE2pE14tbmAaP4ZKHw-k=/206x305/v2/https://resizing.flixster.com/8PrK7bOcPTGabSGj7Js1I6EXUyw=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvUlRUVjE1MjEzMC53ZWJw
One Piece;netflix;action;95;85;https://resizing.flixster.com/4t0eWeKQmbD5YR6nhYXc6rbGN1E=/206x305/v2/https://resizing.flixster.com/Lkm-qMULkWx7gVimFjIuf3QTvPY=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvMzdmOTQ1MzYtNGQ0Yi00ZWRhLThiMWMtZTYwMDEwNzlkZGE4LmpwZw==
Cyberpunk: Edgerunners;netflix;action;95;100;https://resizing.flixster.com/KmN472UTNImhbmT6od2m1DCME1o=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p22416085_b_v13_ac.jpg
Criminal Code;netflix;action;95;NA;https://resizing.flixster.com/9-CLBS1l8KZzPdoRQcesOXl_Y5U=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p25925253_b_v13_aa.jpg
Arthdal Chronicles;netflix;action;95;NA;https://resizing.flixster.com/NKH22JC4rRcnJrJW5UBXsWFpTwU=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p16971574_b_v10_aa.jpg
Carmen Sandiego;netflix;action;95;NA;https://resizing.flixster.com/iRWUaToIDCnxdmpbhZBOrIQnGe4=/206x305/v2/https://resizing.flixster.com/yeO-xznj7UJH80NuVxhypzOjbwk=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvUlRUVjQwNTk1MS53ZWJw
Supa Team 4;netflix;action;95;NA;https://resizing.flixster.com/_eM2hLDovJqmHvXZmRM_Y_p2H8Y=/206x305/v2/https://resizing.flixster.com/BVe4898MvhcOK0UWfeRUvw-SbDs=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvYWFhZTY2ZmMtODU0My00YjZlLWI2YmQtNjhiZTZjMDc3NjczLmpwZw==
Lockwood & Co.;netflix;action;94;93;https://resizing.flixster.com/PfB2PUtpiw0TrsjKSfPpw-u0nFQ=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p23326688_b_v13_ab.jpg
Dorohedoro;netflix;action;94;100;https://resizing.flixster.com/tbw1DRNZnTM3aZV1OOi2xkRxFNI=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p18243630_b_v8_aa.jpg
Justice League;netflix;action;94;95;https://resizing.flixster.com/LSZahJF1dbHxgC7DuHzKnIbMFxE=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p252294_b_v8_as.jpg
Marco Polo;netflix;action;93;66;https://resizing.flixster.com/E34N8WtZBVLyng7hrQpdIHfa4NA=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10491859_b_v8_ad.jpg
Captain Laserhawk: A Blood Dragon Remix;netflix;action;93;89;https://resizing.flixster.com/U4pPSn8APNZaZbOE1XsepOSeHkc=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p25740577_b_v8_ad.jpg
Sirius the Jaeger;netflix;action;93;NA;https://resizing.flixster.com/pePZTi_ETPfxUgUB4rMp2XHp52Q=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p16291499_b_v13_ab.jpg
Paranormal;netflix;horror;96;NA;https://resizing.flixster.com/S5qgLWya-l2LM-bH65ufTdOYEaE=/206x305/v2/https://resizing.flixster.com/Cr2XSntB5y2KJqgzsCWizHpNmbY=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvUlRUVjc3NDc1NC53ZWJw
Santa Clarita Diet;netflix;horror;93;89;https://resizing.flixster.com/YCOMBorVZ8KFgeLcR7r2jfXTJKc=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p13554757_b_v13_ab.jpg
